NAME	AUTHOR	PLATFORM	VERSIONS	VB	COMPILE	FILE	DUPLICATES	PASSWORD
! 411 !	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/411.zip	2	
(^'»UFG Linker ²ººº	aCe	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ufg.zip	2	
+UPchat 4.o+	xQxTooL2	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/upchat1.zip	2	
- -New Breed- -	None	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/newbreed.zip	2	
- [ In Flames ] -	None	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/inflames.zip	2	
-[Mxer Xer]-	None	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/mxer.zip	2	
-eep -bsess 2.0	None	AOL	5.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/deep obsess 2.0 for aol 5.0.zip	1	
-Le- anti	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/lethal empire anti aol9-9.1 yr08 xp vista.zip	3	
-Le- idler	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/lethalempireidler.zip	2	
-spitfire- idle 1.2 beta	Spitfire	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/spitfireidlev12b.zip	2	
-spitfire- idle v2.0 beta	Spitfire	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/spitfirev2beta.zip	2	
-ss GGs	Tate	AOL	4.0	VB5	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ass gas (password=own).zip	2	own)
01	vsx	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/idled.zip	2	
0sw	fifa	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/old school wreshet password=0SW in 2000.zip	3	
1337crack2	None	AOL	unknown	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/1337crack2 aol cracker.zip	2	
139	Impulse	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/139.zip	2	
1800collect	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/collect.zip	2	
187 Reset	Syke in VB6	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/187reset.zip	3	
1im	GenOziDe	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/1im.zip	2	
2000	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/vs. 2000 password=vb3hacker.zip	1	vb3hacker
2001 Server Toolz - Chillz	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2001st.zip	2	
2001 Server Toolz 2.0 - Chillz	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2001st2.zip	2	
2dope	None	AOL	2.5	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/two dope toser 1.2.zip	1	
2pacmmer	ProGGer	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2pacmmer.zip	2	
3-6 Idle	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/36idle.zip	2	
3.0 AntiCrack By ßãñdö Install	Init failed (%d	AOL	unknown	non-VB	n/a	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/3.0 anticrack aol5+8+9 yr2006 xp2k.zip	3	
3DMaze	Maze	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/3dmaze.zip	2	
3k	JeQ	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/bauhaus3k.zip	2	
420pwc	None	AOL	unknown	non-VB	n/a	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/420pwc.zip	2	
420SUPS	Dratek	AOL	3.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/3.0/420world.zip	2	cracker
4im	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/4imxpver.zip	2	
4Sho Player ²	FONT COLOR=#000098	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/4sho2beta.zip	2	
4sho Player3	Silk	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/4sho player3 aol7-8+ winXPME yr03.zip	2	
533idle v3.1	emailing	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/533idle31.zip	2	
666 Idler	JackalXII	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/666 idler for aol 8.0 and 9.0 winXP.zip	2	
9.Pr0 Collect	None	AOL	6.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/6.0/9procollect.zip	2	
[]D² Idle 1.1	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/p2idle11.zip	2	
[E]P] ASCII Shop v1.03	entering	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ep103.zip	2	
A-Quard	GonGy	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aquard.zip	2	
a2idle	b> atomix	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/a2idle.zip	2	
aanti98	Lithium	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/auto anti 98.zip	3	
abomin	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/abomination for aol 4.0.zip	1	
AbuSe Me V2	FLiP	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/abuseme.zip	2	
ABX Beta Final 2 By Oxidine	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/abx2.zip	2	
Abyss	Eternity	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/abyss.zip	2	
